Sample,Temperature,Salinity,Oxygen,pH,Ammonia,Nitrate,Nitrogen Dioxide,Phosphate,SIOH4,Chlorophylle-a,Day Length (hours)
3/26/07,12.34,38.099,6.41,7.99,0.87,0.47,0.13,0.0,0.08,0.86,12.42
4/10/07,13.31,37.773,6.1,8.12,0.38,0.57,0.12,0.0,0.41,0.43,13.13
4/16/07,14.35,36.255,6.23,8.12,1.27,2.11,0.14,0.01,0.77,2.1,13.42
4/23/07,15.31,36.747,6.56,8.19,0.3,0.49,0.06,0.01,1.18,0.86,13.73
5/2/07,17.74,36.494,6.47,8.19,1.26,0.72,0.06,0.0,0.12,0.3,14.1
5/9/07,15.92,36.838,6.04,8.14,0.26,0.7,0.07,0.0,0.39,0.38,14.38
5/14/07,16.61,37.01,6.03,8.19,1.35,0.29,0.07,0.0,0.3,0.38,14.57
5/21/07,16.73,37.432,6.22,8.03,0.13,0.0,0.0,0.0,0.06,0.55,14.8
5/28/07,16.2,37.734,5.73,8.15,1.09,0.3,0.03,0.02,0.49,0.33,15.02
6/4/07,16.45,37.802,5.91,8.11,1.31,0.06,0.0,0.02,0.49,0.33,15.13
7/2/07,20.18,37.359,5.62,8.04,0.41,0.03,0.0,0.0,,0.08,15.22
9/3/07,19.21,38.019,4.97,8.09,0.29,0.16,0.0,0.04,1.24,,13.38
3/10/08,11.17,37.68,6.77,8.35,0.09,1.27,0.24,0.02,0.88,0.63,11.7
4/2/08,12.0,38.116,6.52,8.23,0.05,0.21,0.03,0.06,0.66,2.61,12.8
5/19/08,17.31,35.621,5.87,8.21,0.29,2.87,0.14,0.03,1.21,0.44,14.77
6/9/08,17.76,37.004,5.92,8.15,0.05,0.01,0.03,0.03,0.71,0.65,15.23
7/15/08,21.24,37.623,5.74,8.1,0.05,0.12,0.03,0.03,1.29,0.11,14.97
8/18/08,21.42,37.884,5.79,8.13,0.05,0.12,0.03,0.03,0.67,0.05,13.73
9/10/08,19.21,37.522,5.75,8.06,0.23,0.21,0.04,0.04,1.28,0.39,12.47
10/8/08,17.56,37.509,6.01,8.18,0.09,0.19,0.03,0.02,1.45,0.28,11.47
11/12/08,16.23,37.95,5.75,8.29,1.19,0.52,0.13,0.02,1.63,0.41,10.2
1/5/09,11.05,36.385,5.94,8.24,0.11,5.73,0.8,0.07,6.27,1.07,9.2
2/9/09,10.56,36.881,6.31,8.21,0.37,3.31,0.29,0.03,3.29,1.03,10.33
2/23/09,11.3,37.63,6.11,8.04,0.19,1.57,0.31,0.02,1.84,0.21,11.27
3/9/09,10.82,37.614,5.78,8.03,0.22,1.8,0.39,0.02,2.23,0.36,11.62
3/23/09,12.06,37.827,6.24,8.0,0.39,1.54,0.09,0.08,1.4,0.76,12.28
4/6/09,11.99,37.821,6.06,7.91,0.63,1.96,0.16,0.09,1.67,0.3,12.62
4/20/09,12.82,36.675,,8.06,0.51,1.29,0.08,0.09,2.1,1.36,13.6
5/4/09,13.94,37.404,5.99,8.04,0.61,1.19,0.09,0.04,0.72,0.29,14.18
5/18/09,16.31,37.143,5.99,8.12,0.34,0.13,0.02,0.05,0.98,0.65,14.7
6/17/09,18.85,37.043,5.66,8.13,0.69,0.02,0.02,0.06,1.17,0.52,15.2
7/1/09,20.53,37.422,5.48,8.12,0.55,0.21,0.02,0.03,0.64,0.15,15.28
7/16/09,20.84,37.715,5.3,8.11,0.59,0.29,0.02,0.03,0.94,0.13,14.85
7/27/09,21.22,37.804,5.25,8.18,1.14,0.36,0.02,0.03,0.78,0.13,14.63
8/24/09,24.32,37.833,4.73,8.07,0.67,0.02,0.02,0.03,0.53,,13.52
9/9/09,22.56,38.019,5.11,8.09,0.61,0.02,0.02,0.03,0.56,0.07,12.78
9/21/09,20.18,38.039,5.32,7.94,0.7,0.02,0.02,0.03,0.86,0.15,12.22
10/13/09,20.84,38.132,5.1,7.99,0.29,0.05,0.02,0.03,1.18,0.3,11.18
10/26/09,17.53,38.203,5.32,7.97,0.34,0.05,0.03,0.03,1.72,0.48,10.6
11/16/09,15.79,38.185,5.34,7.95,0.23,0.26,0.09,0.03,1.53,0.29,9.75
11/30/09,15.87,38.022,5.43,7.93,0.17,0.25,0.04,0.03,0.68,0.52,9.33
12/16/09,15.87,37.991,5.38,8.0,0.19,0.22,0.04,0.03,0.61,0.32,9.08
1/4/10,12.54,38.154,5.94,7.91,0.22,0.59,0.16,0.03,0.5,0.94,9.18
1/11/10,11.78,38.006,5.98,7.76,0.15,1.08,0.29,0.03,1.03,0.24,9.32
2/1/10,10.75,37.608,6.16,8.2,0.33,2.55,0.38,0.03,2.33,0.48,9.98
2/15/10,8.53,37.474,6.59,8.25,0.19,1.74,0.26,0.03,1.32,1.54,10.58
3/3/10,10.76,36.31,6.31,8.21,0.46,3.59,0.19,0.03,2.81,1.13,11.32
3/15/10,10.09,36.895,6.33,8.24,0.4,3.62,0.28,0.01,2.0,1.34,11.9
3/30/10,12.07,37.462,6.49,8.27,0.21,1.63,0.14,0.04,2.36,0.8,13.0
4/26/10,14.66,37.249,5.95,8.24,0.25,0.6,0.07,0.03,0.96,0.39,13.85
5/7/10,15.87,39.99,5.82,8.26,0.11,0.39,0.06,0.05,0.71,0.86,14.15
5/10/10,14.05,37.331,5.88,8.24,,,0.14,0.04,2.62,0.4,14.42
5/26/10,16.19,37.115,6.3,8.26,0.01,0.07,0.01,0.06,1.29,0.33,14.93
6/7/10,17.63,37.444,5.69,8.23,,0.1,0.02,0.02,2.2,0.16,15.18
7/5/10,19.06,37.538,5.32,8.22,0.01,0.06,0.01,0.01,1.06,0.14,15.2
7/19/10,22.57,37.518,4.93,8.23,0.01,0.07,0.01,0.01,2.59,0.06,14.88
8/2/10,20.98,37.76,5.11,8.18,0.01,0.06,0.01,0.01,1.94,0.09,14.23
8/23/10,20.19,37.88,5.28,8.12,0.01,0.05,0.01,0.01,1.29,0.12,13.57
9/13/10,19.39,38.0,5.28,8.25,0.03,0.09,0.01,0.01,1.93,0.14,12.6
10/27/10,15.4,38.078,,8.23,0.24,0.6,0.09,0.1,3.4,0.48,10.25
11/15/10,14.8,38.056,5.57,8.16,0.12,0.6,0.25,0.03,1.85,0.4,9.35
12/6/10,14.23,38.126,5.47,8.17,0.06,1.06,0.18,0.01,1.82,0.24,9.22
1/3/11,11.27,37.617,6.07,8.09,0.03,2.06,0.36,0.07,3.2,0.66,9.17
1/17/11,11.91,37.301,5.93,8.14,0.02,2.98,0.33,0.09,3.5,0.78,9.48
2/7/11,10.71,37.443,6.22,8.15,0.21,2.28,0.28,0.07,2.96,1.22,10.23
2/21/11,11.16,37.59,6.07,8.14,0.15,1.61,0.22,0.03,2.51,0.56,10.85
3/9/11,12.05,38.107,5.96,8.26,0.01,1.43,0.17,0.01,2.3,0.61,11.62
3/21/11,12.01,36.648,5.98,8.3,0.36,2.98,0.38,0.06,4.01,0.9,12.18
3/28/11,12.73,37.205,6.09,8.22,0.04,1.84,0.3,0.03,3.16,1.42,12.53
4/26/11,15.2,37.126,5.7,8.15,0.14,0.47,0.05,0.01,1.16,1.2,13.85
5/9/11,17.14,37.423,5.65,8.18,0.01,0.06,0.01,0.02,0.81,0.28,14.38
5/23/11,18.2,37.591,5.62,8.2,0.01,0.06,0.01,0.01,0.46,0.14,14.85
6/7/11,18.07,38.107,5.44,8.11,0.01,0.03,0.02,0.01,0.7,0.21,15.18
6/27/11,19.77,37.793,5.32,8.4,0.01,0.08,0.01,0.01,0.47,0.11,15.28
7/11/11,20.79,37.888,4.68,8.37,0.01,0.0,0.01,0.01,0.5,0.04,15.08
7/27/11,19.65,37.951,4.86,8.11,0.02,0.2,0.02,0.01,0.93,0.09,14.63
8/30/11,22.43,37.976,5.07,8.22,0.01,0.02,0.01,0.01,0.77,0.13,13.6
9/12/11,22.18,37.249,4.99,8.2,0.01,0.02,0.01,0.01,0.4,0.12,12.92
9/27/11,22.04,38.054,5.0,8.17,0.01,0.13,0.01,0.01,0.77,0.08,11.93
10/11/11,21.41,38.081,4.99,8.13,0.01,0.05,0.01,0.09,1.04,0.12,11.6
10/17/11,18.9,38.163,5.0,8.19,0.01,0.08,0.01,0.07,1.26,0.08,11.0
11/7/11,17.08,36.688,5.18,8.2,0.68,3.29,0.12,0.15,6.91,0.54,10.1
11/23/11,16.22,34.294,5.49,8.12,0.38,4.49,0.23,0.36,10.61,1.52,9.52
12/6/11,16.32,37.806,4.95,8.14,0.04,0.23,0.09,0.04,0.74,1.05,9.22
1/3/12,13.8,38.132,5.68,8.31,0.02,0.61,0.18,0.03,1.15,0.68,9.17
1/16/12,13.19,38.153,5.42,8.16,0.03,1.55,0.33,0.05,1.74,0.39,9.65
1/31/12,11.82,38.043,5.94,8.19,0.02,1.59,0.41,0.04,1.92,0.29,9.95
2/21/12,10.48,38.155,6.13,8.25,0.01,2.28,0.16,0.04,3.26,0.51,10.85
3/7/12,10.91,38.197,6.26,8.37,0.09,1.06,0.14,0.05,0.6,0.8,11.55
3/13/12,11.19,38.194,6.24,8.4,0.1,0.53,0.15,0.02,0.2,0.6,11.85
4/4/12,13.84,37.946,5.88,8.31,0.04,0.43,0.06,0.03,1.46,0.32,12.9
4/19/12,13.08,38.08,5.81,8.41,0.06,0.37,0.12,0.04,1.66,0.23,13.6
4/23/12,13.25,38.23,5.63,8.23,0.02,1.07,0.14,0.06,2.02,0.33,13.77
5/9/12,15.45,36.614,6.13,8.52,0.01,0.94,0.14,0.05,0.35,1.8,14.42
5/25/12,15.58,37.808,5.6,8.38,0.04,0.28,0.05,0.02,1.52,0.34,14.93
6/7/12,19.5,37.642,5.4,8.35,0.01,0.23,0.01,0.03,0.84,0.14,15.2
6/11/12,19.29,37.416,5.3,8.44,0.03,0.31,0.01,0.05,1.41,0.22,15.25
6/20/12,19.75,37.61,5.25,8.33,0.01,0.19,0.01,0.02,0.79,0.1,15.3
6/25/12,20.21,37.804,5.34,8.43,0.01,0.04,0.02,0.05,1.11,0.14,15.28
7/12/12,20.09,37.855,5.11,8.38,0.01,0.02,0.02,0.03,0.79,0.12,15.03
8/6/12,21.75,38.008,,8.3,0.09,0.06,0.01,0.02,0.95,0.16,14.23
8/16/12,20.38,38.388,4.74,8.33,0.04,0.13,0.01,0.03,1.98,0.1,13.83
8/20/12,22.87,38.176,4.72,8.26,0.06,0.12,0.01,0.02,1.15,0.2,13.65
9/11/12,19.27,37.996,5.1,8.36,0.01,0.02,0.01,0.02,1.22,0.31,12.65
9/25/12,18.6,37.752,5.14,8.45,0.14,0.02,0.03,0.01,1.6,0.33,11.65
10/8/12,18.87,37.86,5.17,8.44,0.02,0.02,0.01,0.01,0.38,0.35,11.05
10/22/12,18.24,38.15,5.07,8.43,0.27,0.29,0.07,0.05,1.47,0.48,10.72
11/5/12,16.58,37.872,5.32,8.39,0.2,0.62,0.11,0.07,2.02,0.57,10.13
11/19/12,15.41,37.89,5.51,8.35,0.31,0.91,0.18,0.06,2.12,0.36,9.62
11/26/12,15.51,37.615,5.12,8.4,0.49,1.66,0.22,0.05,3.37,0.34,9.4
12/12/12,13.09,38.02,5.85,8.38,0.01,1.39,0.24,0.04,2.53,0.48,9.12
1/15/13,12.71,37.625,5.89,8.41,0.02,0.94,0.27,0.06,1.39,1.15,9.43
2/4/13,11.08,38.052,5.94,8.39,0.05,1.79,0.3,0.06,1.86,1.2,10.12
3/11/13,11.47,34.709,6.41,8.38,0.1,5.9,0.24,0.18,9.98,2.57,11.7
3/25/13,10.98,37.327,6.18,8.31,0.34,2.16,0.24,0.09,0.95,1.19,12.37
4/22/13,13.13,37.111,5.92,8.31,0.19,1.81,0.21,0.04,3.19,0.47,13.68
5/6/13,13.92,37.335,7.88,8.35,0.07,1.6,0.17,0.05,3.68,0.18,14.28
5/21/13,14.68,37.498,8.07,8.35,0.05,0.37,0.01,0.08,0.32,1.12,14.53
6/3/13,14.96,37.756,5.86,8.17,0.03,0.24,0.03,0.06,1.22,1.41,15.12
6/17/13,15.92,38.49,5.68,8.14,0.02,0.18,0.01,0.02,0.11,0.24,15.28
7/1/13,19.14,37.941,5.63,7.86,0.02,0.06,0.01,0.03,0.75,0.46,15.25
7/15/13,21.84,37.728,4.97,8.16,0.03,0.02,0.01,0.02,0.79,0.18,14.98
7/29/13,21.94,37.645,5.17,8.17,0.01,0.1,0.01,0.05,0.78,0.28,14.57
8/12/13,23.22,37.832,4.76,8.17,0.01,0.02,0.01,0.03,1.14,0.2,14.03
8/26/13,22.57,37.889,4.78,8.15,0.05,0.16,0.01,0.01,0.88,0.14,13.43
9/9/13,20.75,37.877,4.48,8.19,0.06,0.02,0.01,0.03,1.14,0.1,12.78
9/23/13,19.03,38.355,5.27,8.16,0.06,0.02,0.01,0.02,1.43,0.14,12.12
10/14/13,17.99,37.838,4.98,8.14,0.02,0.02,0.01,0.03,0.43,0.22,11.13
10/28/13,19.05,36.762,4.52,8.14,0.53,1.62,0.05,0.04,0.57,1.05,10.5
11/13/13,16.47,37.945,5.37,8.06,0.08,0.17,0.01,0.04,1.4,0.95,9.85
11/28/13,12.2,37.837,5.84,8.1,0.14,1.56,0.21,0.09,3.02,0.51,9.38
12/12/13,12.72,38.187,5.67,8.05,0.05,2.49,0.2,0.09,2.98,0.51,9.12
1/13/14,12.44,34.278,6.138,7.961,0.13,9.52,0.69,0.08,10.99,1.75,9.37
2/2/14,12.25,37.51,3.875,8.112,0.04,1.84,0.34,0.04,2.64,1.43,10.08
2/10/14,12.12,37.68,4.801,8.12,0.07,1.45,0.34,0.06,1.9,1.56,10.37
2/24/14,12.66,37.95,5.734,8.107,0.09,1.73,0.35,0.06,2.48,0.74,11.0
3/24/14,12.76,37.676,5.927,8.139,0.22,0.73,0.15,0.01,0.28,1.09,12.33
4/7/14,13.52,37.068,6.011,8.044,0.16,1.06,0.14,0.03,0.46,2.53,13.0
4/22/14,15.16,37.402,5.547,8.17,0.02,0.11,0.05,0.01,0.75,1.22,13.68
5/19/14,16.02,37.765,5.59,8.045,0.11,0.12,0.05,0.03,0.93,0.39,14.73
6/10/14,17.7,37.725,5.45,8.1,0.01,0.02,0.01,0.01,0.83,0.33,15.23
6/23/14,20.3,37.903,5.151,8.278,0.07,0.02,0.01,0.01,0.6,0.26,15.3
7/7/14,20.21,37.816,5.143,8.261,0.08,0.02,0.01,0.01,1.48,0.21,15.15
7/21/14,20.5,37.883,5.038,8.088,0.05,0.2,0.01,0.01,2.75,0.27,14.83
8/4/14,21.99,37.826,4.2231,8.112,0.02,0.17,0.01,0.01,0.68,0.26,14.35
8/19/14,21.55,37.893,3.609,8.156,0.01,0.02,0.01,0.01,0.68,0.23,13.73
9/1/14,21.67,37.9374,5.08,8.552,0.01,0.03,0.08,0.01,0.54,0.15,13.17
9/15/14,21.64,37.8899,5.016,8.003,0.05,0.08,0.02,0.03,1.74,0.53,12.52
11/12/14,18.23,38.0811,4.999,8.131,0.09,0.3,0.11,0.01,1.03,0.3,9.88
11/24/14,17.33,37.6689,5.32,8.147,0.44,0.66,0.07,0.17,1.22,0.6,9.5
12/8/14,16.15,37.5258,5.467,8.148,0.24,1.37,0.31,0.04,3.64,0.33,9.17
1/5/15,14.71,37.66,5.821,8.117,0.1,0.53,0.28,0.01,1.81,0.46,9.2
1/8/15,13.27,37.7898,5.795,8.144,0.05,,,,,0.69,9.25
1/12/15,14.29,38.0494,5.686,8.132,0.01,0.58,0.24,0.01,1.67,0.46,9.33
1/15/15,13.31,37.9169,5.795,8.144,0.05,,,,,0.69,9.43
1/19/15,13.08,37.975,5.899,8.128,0.1,0.29,0.2,0.01,1.21,0.88,9.53
1/22/15,12.67,37.829,5.86,8.144,0.08,,,,,1.1,9.63
1/27/15,12.15,37.9268,6.009,8.082,0.04,0.63,0.23,0.01,1.25,0.89,9.82
1/29/15,12.38,37.9942,5.992,8.163,0.02,,,,,1.22,9.87
2/2/15,12.6,38.0616,5.817,8.156,0.09,1.45,0.22,0.02,3.82,0.64,10.03
