Sample,Date,Latitude,Longitude,Depth,Temperature,Salinity,Oxygen,Nitrate,Nitrogen Dioxide,Phosphate,Nitrate/Nitrite,Silicate,Size fraction lower threshold,Size fraction upper threshold
TARA_100_DCM_0.22-3,4/15/11 13:10,-12.99,-95.99,57.6,20.6,35.5,216.8,1.5,0.16,0.78,5.7,1.9,0.22,3.0
TARA_100_MES_0.22-3,4/16/11 16:09,-12.93,-96.12,175.3,13.0,34.8,0.7,21.1,0.03,2.68,23.9,19.6,0.22,3.0
TARA_100_SRF_0.22-3,4/15/11 13:10,-12.99,-95.99,5.5,25.3,35.8,200.2,4.6,0.14,0.68,6.2,1.2,0.22,3.0
TARA_102_DCM_0.22-3,4/22/11 19:51,-5.27,-85.23,45.7,19.6,34.9,103.9,20.3,1.2,1.86,24.4,10.5,0.22,3.0
TARA_102_MES_0.22-3,4/22/11 14:16,-5.27,-85.22,475.6,9.2,34.7,4.4,40.0,0.01,2.85,39.2,40.6,0.22,3.0
TARA_102_SRF_0.22-3,4/21/11 20:16,-5.25,-85.16,5.5,24.9,34.7,206.0,11.7,0.32,1.0,12.6,5.0,0.22,3.0
TARA_109_DCM_<-0.22,5/13/11 0:00,2.08,-84.52,29.8,26.5,34.3,203.1,3.9,0.11,0.5,4.6,3.2,,0.22
TARA_109_DCM_0.22-3,5/13/11 0:00,2.08,-84.52,29.8,26.5,34.3,203.1,3.9,0.11,0.5,4.6,3.2,0.22,3.0
TARA_109_MES_0.22-3,5/13/11 19:44,2.07,-84.54,376.4,11.3,34.8,2.5,33.9,0.02,2.58,35.3,36.3,0.22,3.0
TARA_109_SRF_<-0.22,5/12/11 13:38,1.99,-84.58,5.4,27.6,33.4,198.6,1.2,0.04,0.27,0.9,1.7,,0.22
TARA_109_SRF_0.22-3,5/12/11 13:38,1.99,-84.58,5.4,27.6,33.4,198.6,1.2,0.04,0.27,0.9,1.7,0.22,3.0
TARA_110_DCM_0.22-3,5/21/11 23:21,-1.84,-84.63,48.7,21.8,35.1,144.6,10.9,0.41,0.93,10.7,6.0,0.22,3.0
TARA_110_MES_0.22-3,5/22/11 17:56,-1.87,-84.62,376.9,10.3,34.8,1.3,34.6,0.0,2.8,38.1,35.0,0.22,3.0
TARA_110_SRF_0.22-3,5/21/11 12:37,-2.01,-84.59,5.5,23.9,35.0,190.8,6.7,0.31,0.75,8.2,3.9,0.22,3.0
TARA_111_DCM_0.22-3,5/31/11 21:23,-16.96,-100.7,89.0,19.9,35.7,211.5,1.4,0.2,0.44,0.93,0.9,0.22,3.0
TARA_111_MES_0.22-3,6/1/11 18:24,-16.96,-100.66,347.1,10.9,34.7,3.2,30.4,0.01,2.73,34.61,26.0,0.22,3.0
TARA_111_SRF_0.22-3,5/31/11 14:12,-16.96,-100.63,5.9,22.8,36.0,208.9,2.6,0.04,0.5,2.68,1.0,0.22,3.0
TARA_112_DCM_0.22-3,6/15/11 2:29,-23.19,-129.54,153.5,22.3,35.9,207.1,0.5,0.0,0.11,0.02,0.7,0.22,3.0
TARA_112_MES_0.22-3,6/15/11 22:14,-23.2,-129.64,689.3,5.8,34.3,199.2,29.2,0.01,2.15,31.46,20.6,0.22,3.0
TARA_112_SRF_0.22-3,6/14/11 16:54,-23.28,-129.4,5.4,24.2,36.5,202.2,-0.9,0.01,0.14,0.03,0.8,0.22,3.0
TARA_122_DCM_0.1-0.22,7/28/11 19:36,-8.98,-139.2,113.3,24.7,36.1,179.9,2.3,0.1,0.59,2.8,1.8,0.1,0.22
TARA_122_DCM_0.22-0.45,7/28/11 19:36,-8.98,-139.2,113.3,24.7,36.1,179.9,2.3,0.1,0.59,2.8,1.8,0.22,0.45
TARA_122_DCM_0.22-3,7/28/11 19:36,-8.98,-139.2,113.3,24.7,36.1,179.9,2.3,0.1,0.59,2.8,1.8,0.22,3.0
TARA_122_DCM_0.45-0.8,7/28/11 19:36,-8.98,-139.2,113.3,24.7,36.1,179.9,2.3,0.1,0.59,2.8,1.8,0.45,0.8
TARA_122_MES_0.1-0.22,7/27/11 23:48,-8.99,-139.23,594.6,7.2,34.6,38.1,42.5,0.02,2.43,34.63,22.49,0.1,0.22
TARA_122_MES_0.22-0.45,7/27/11 23:48,-8.99,-139.23,594.6,7.2,34.6,38.1,42.5,0.02,2.43,34.63,22.49,0.22,0.45
TARA_122_MES_0.22-3,7/27/11 23:48,-8.99,-139.23,594.6,7.2,34.6,38.1,42.5,0.02,2.43,34.63,22.49,0.22,3.0
TARA_122_MES_0.45-0.8,7/27/11 23:48,-8.99,-139.23,594.6,7.2,34.6,38.1,42.5,0.02,2.43,34.63,22.49,0.45,0.8
TARA_122_SRF_0.1-0.22,7/26/11 17:34,-8.99,-139.21,5.9,26.5,35.4,186.2,4.0,0.12,0.57,5.46,2.19,0.1,0.22
TARA_122_SRF_0.22-0.45,7/26/11 17:34,-8.99,-139.21,5.9,26.5,35.4,186.2,4.0,0.12,0.57,5.46,2.19,0.22,0.45
TARA_122_SRF_0.22-3,7/26/11 17:34,-8.99,-139.21,5.9,26.5,35.4,186.2,4.0,0.12,0.57,5.46,2.19,0.22,3.0
TARA_122_SRF_0.45-0.8,7/26/11 17:34,-8.99,-139.21,5.9,26.5,35.4,186.2,4.0,0.12,0.57,5.46,2.19,0.45,0.8
TARA_123_SRF_0.22-0.45,7/31/11 17:24,-8.91,-140.28,5.5,26.6,35.4,189.8,3.9,0.14,0.53,4.9,2.22,0.22,0.45
TARA_123_SRF_0.22-3,7/31/11 17:24,-8.91,-140.28,5.5,26.6,35.4,189.8,3.9,0.14,0.53,4.9,2.22,0.22,3.0
TARA_123_SRF_0.45-0.8,7/31/11 17:24,-8.91,-140.28,5.5,26.6,35.4,189.8,3.9,0.14,0.53,4.9,2.22,0.45,0.8
TARA_123_MIX_0.1-0.22,8/1/11 20:13,-8.9,-140.29,148.0,22.1,35.9,161.3,5.0,1.47,0.66,5.43,1.19,0.1,0.22
TARA_123_MIX_0.22-0.45,8/1/11 20:13,-8.9,-140.29,148.0,22.1,35.9,161.3,5.0,1.47,0.66,5.43,1.19,0.22,0.45
TARA_123_MIX_0.22-3,8/1/11 20:13,-8.9,-140.29,148.0,22.1,35.9,161.3,5.0,1.47,0.66,5.43,1.19,0.22,3.0
TARA_123_MIX_0.45-0.8,8/1/11 20:13,-8.9,-140.29,148.0,22.1,35.9,161.3,5.0,1.47,0.66,5.43,1.19,0.45,0.8
TARA_124_SRF_0.1-0.22,8/5/11 0:27,-9.11,-140.58,9.9,26.5,35.4,190.7,5.1,0.16,0.63,6.18,2.52,0.1,0.22
TARA_124_SRF_0.22-0.45,8/5/11 0:27,-9.11,-140.58,9.9,26.5,35.4,190.7,5.1,0.16,0.63,6.18,2.52,0.22,0.45
TARA_124_SRF_0.22-3,8/5/11 0:27,-9.11,-140.58,9.9,26.5,35.4,190.7,5.1,0.16,0.63,6.18,2.52,0.22,3.0
TARA_124_SRF_0.45-0.8,8/5/11 0:27,-9.11,-140.58,9.9,26.5,35.4,190.7,5.1,0.16,0.63,6.18,2.52,0.45,0.8
TARA_124_MIX_0.1-0.22,8/5/11 19:30,-9.07,-140.62,118.3,25.2,35.8,175.9,4.5,0.35,0.49,1.21,1.47,0.1,0.22
TARA_124_MIX_0.22-0.45,8/5/11 19:30,-9.07,-140.62,118.3,25.2,35.8,175.9,4.5,0.35,0.49,1.21,1.47,0.22,0.45
TARA_124_MIX_0.22-3,8/5/11 19:30,-9.07,-140.62,118.3,25.2,35.8,175.9,4.5,0.35,0.49,1.21,1.47,0.22,3.0
TARA_124_MIX_0.45-0.8,8/5/11 19:30,-9.07,-140.62,118.3,25.2,35.8,175.9,4.5,0.35,0.49,1.21,1.47,0.45,0.8
TARA_125_SRF_0.1-0.22,8/8/11 17:38,-8.91,-142.56,5.5,26.8,35.4,187.3,5.0,0.19,0.56,3.73,1.8,0.1,0.22
TARA_125_SRF_0.22-0.45,8/8/11 17:38,-8.91,-142.56,5.5,26.8,35.4,187.3,5.0,0.19,0.56,3.73,1.8,0.22,0.45
TARA_125_SRF_0.22-3,8/8/11 17:38,-8.91,-142.56,5.5,26.8,35.4,187.3,5.0,0.19,0.56,3.73,1.8,0.22,3.0
TARA_125_SRF_0.45-0.8,8/8/11 17:38,-8.91,-142.56,5.5,26.8,35.4,187.3,5.0,0.19,0.56,3.73,1.8,0.45,0.8
TARA_125_MIX_0.1-0.22,8/9/11 19:06,-8.9,-142.58,138.2,23.7,36.3,160.5,3.7,0.06,0.56,3.15,1.34,0.1,0.22
TARA_125_MIX_0.22-0.45,8/9/11 19:06,-8.9,-142.58,138.2,23.7,36.3,160.5,3.7,0.06,0.56,3.15,1.34,0.22,0.45
TARA_125_MIX_0.22-3,8/9/11 19:06,-8.9,-142.58,138.2,23.7,36.3,160.5,3.7,0.06,0.56,3.15,1.34,0.22,3.0
TARA_125_MIX_0.45-0.8,8/9/11 19:06,-8.9,-142.58,138.2,23.7,36.3,160.5,3.7,0.06,0.56,3.15,1.34,0.45,0.8
TARA_128_DCM_0.22-3,9/4/11 23:14,0.0,-153.68,41.7,26.1,35.1,177.0,4.4,0.28,0.55,5.26,2.74,0.22,3.0
TARA_128_SRF_0.22-3,9/4/11 18:04,0.0,-153.68,5.4,26.1,35.1,179.9,2.5,0.27,0.54,5.08,2.67,0.22,3.0
TARA_132_DCM_0.22-3,10/5/11 1:55,31.5,-159.06,113.8,15.3,34.4,225.5,0.7,0.02,0.13,0.05,4.45,0.22,3.0
TARA_132_MES_0.22-3,10/5/11 21:53,31.53,-159.02,545.5,6.7,34.0,138.7,29.1,0.0,1.22,17.49,22.34,0.22,3.0
TARA_132_SRF_0.22-3,10/4/11 17:49,31.52,-159.0,5.5,25.2,35.2,197.7,-1.0,0.0,0.01,0.01,2.43,0.22,3.0
TARA_133_DCM_0.22-3,10/19/11 2:53,35.42,-127.69,47.2,13.2,33.2,227.7,4.8,0.08,0.46,1.3,2.84,0.22,3.0
TARA_133_MES_0.22-3,10/19/11 21:20,35.31,-127.74,644.6,4.9,34.3,8.6,44.1,0.0,3.29,44.24,113.32,0.22,3.0
TARA_133_SRF_0.22-3,10/18/11 18:58,35.41,-127.74,5.5,19.2,33.1,224.4,-0.7,0.0,0.29,0.02,1.91,0.22,3.0
TARA_137_DCM_0.22-3,12/2/11 17:44,14.17,-116.71,44.2,18.6,34.4,95.4,11.0,0.31,0.88,6.05,4.66,0.22,3.0
TARA_137_MES_0.22-3,12/3/11 16:31,14.17,-116.66,371.0,8.9,34.6,0.6,35.7,0.01,2.95,34.55,46.62,0.22,3.0
TARA_137_SRF_0.22-3,12/2/11 14:10,14.2,-116.63,5.4,26.4,33.9,195.1,3.2,0.07,0.46,2.44,2.54,0.22,3.0
TARA_138_DCM_0.22-3,12/11/11 14:14,6.34,-102.98,58.1,19.0,34.6,77.0,22.1,0.83,1.11,12.9,8.07,0.22,3.0
TARA_138_MES_0.22-3,12/11/11 22:51,6.37,-103.07,444.9,8.2,34.6,0.8,36.9,0.01,3.16,36.22,52.92,0.22,3.0
TARA_138_SRF_0.22-3,12/10/11 13:58,6.33,-102.94,5.4,26.6,33.4,196.9,-1.2,0.0,0.16,0.0,1.19,0.22,3.0
TARA_140_SRF_0.22-3,12/21/11 16:25,7.41,-79.3,5.4,26.6,28.9,205.3,-3.8,0.0,0.08,0.0,0.54,0.22,3.0
TARA_141_SRF_0.22-3,12/30/11 12:56,9.85,-80.04,5.4,27.1,34.3,195.5,-1.7,0.0,0.01,0.0,2.93,0.22,3.0
TARA_142_DCM_0.22-3,1/9/12 21:30,25.66,-88.47,123.7,24.9,36.2,193.0,0.4,0.02,0.02,0.06,1.17,0.22,3.0
TARA_142_MES_0.22-3,1/10/12 16:43,25.63,-88.44,634.8,9.8,35.2,108.2,31.9,0.0,1.22,20.25,8.62,0.22,3.0
TARA_142_SRF_0.22-3,1/9/12 12:41,25.51,-88.38,5.4,25.0,36.2,194.3,-2.2,0.02,0.0,0.05,1.22,0.22,3.0
TARA_145_MES_0.22-3,2/2/12 20:29,39.19,-70.08,585.7,5.1,35.0,230.2,19.9,0.01,1.47,21.5,13.73,0.22,3.0
TARA_145_SRF_0.22-3,2/2/12 12:02,39.23,-70.03,5.5,14.1,35.2,233.9,3.5,0.11,0.35,4.38,2.77,0.22,3.0
TARA_146_MES_0.22-3,2/16/12 14:53,34.63,-71.26,633.3,11.0,35.4,138.1,21.8,0.0,1.31,20.03,13.24,0.22,3.0
TARA_146_SRF_0.22-3,2/15/12 12:59,34.68,-71.3,11.7,19.1,36.5,214.4,0.9,0.22,0.02,0.74,0.94,0.22,3.0
TARA_148b_MES_0.22-3,2/27/12 18:43,34.02,-56.87,246.4,18.2,36.6,191.8,4.0,0.03,0.18,4.13,1.62,0.22,3.0
TARA_148_SRF_0.22-3,2/24/12 11:41,31.7,-64.25,6.1,20.4,36.6,212.6,,0.09,0.0,0.15,0.73,0.22,3.0
TARA_149_MES_0.22-3,3/1/12 20:06,34.1,-49.78,734.3,10.6,35.4,155.2,21.3,0.01,1.36,21.11,11.38,0.22,3.0
TARA_149_SRF_0.22-3,3/1/12 11:55,34.1,-49.89,5.5,18.7,36.4,220.2,-1.2,0.25,0.06,0.68,0.8,0.22,3.0
TARA_150_DCM_0.22-3,3/5/12 21:32,35.75,-37.05,39.8,17.7,36.2,230.1,1.2,0.04,0.0,0.17,0.84,0.22,3.0
TARA_150_SRF_0.22-3,3/5/12 11:02,35.91,-37.26,5.5,17.6,36.3,228.4,-0.3,0.04,0.01,0.17,0.84,0.22,3.0
TARA_151_DCM_0.22-3,3/9/12 18:49,36.19,-28.88,77.6,16.8,36.2,228.5,1.6,0.01,0.01,0.05,0.63,0.22,3.0
TARA_151_SRF_0.22-3,3/9/12 10:13,36.16,-29.01,5.4,17.3,36.2,232.1,0.3,0.02,0.01,0.02,0.65,0.22,3.0
TARA_152_MES_0.22-3,3/19/12 16:14,43.74,-16.88,791.8,10.2,35.5,175.3,18.2,0.01,1.12,18.03,10.38,0.22,3.0
TARA_152_SRF_0.22-3,3/19/12 10:42,43.69,-16.85,5.4,14.3,36.0,243.1,3.0,0.31,0.16,2.16,1.24,0.22,3.0
TARA_152_MIX_0.22-3,3/20/12 12:20,43.79,-16.89,23.9,14.3,36.0,239.4,3.8,0.32,0.17,2.26,1.26,0.22,3.0
TARA_018_DCM_<-0.22,11/2/09 12:43,35.76,14.25,61.6,18.4,37.9,237.9,,0.03,0.01,0.02,0.62,,0.22
TARA_018_DCM_0.22-1.6,11/2/09 12:43,35.76,14.25,61.6,18.4,37.9,237.9,,0.03,0.01,0.02,0.62,0.22,1.6
TARA_018_SRF_<-0.22,11/2/09 8:18,35.76,14.26,5.4,21.4,37.9,207.8,,0.02,0.03,0.12,0.56,,0.22
TARA_018_SRF_0.22-1.6,11/2/09 8:18,35.76,14.26,5.4,21.4,37.9,207.8,,0.02,0.03,0.12,0.56,0.22,1.6
TARA_022_SRF_<-0.22,11/16/09 8:06,39.84,17.4,5.5,17.0,37.8,220.9,,0.07,0.02,0.21,2.03,,0.22
TARA_023_DCM_<-0.22,11/18/09 12:42,42.17,17.72,55.2,15.7,38.4,224.3,,0.01,0.01,0.05,1.05,,0.22
TARA_023_DCM_0.22-1.6,11/18/09 12:42,42.17,17.72,55.2,15.7,38.4,224.3,,0.01,0.01,0.05,1.05,0.22,1.6
TARA_023_SRF_0.22-1.6,11/18/09 8:23,42.21,17.71,5.5,17.6,38.2,220.0,,0.01,0.01,0.04,1.38,0.22,1.6
TARA_025_DCM_<-0.22,11/23/09 12:40,39.41,19.38,51.7,15.2,38.5,229.5,,0.07,0.07,0.15,1.82,,0.22
TARA_025_DCM_0.22-1.6,11/23/09 12:40,39.41,19.38,51.7,15.2,38.5,229.5,,0.07,0.07,0.15,1.82,0.22,1.6
TARA_025_SRF_<-0.22,11/23/09 9:14,39.39,19.39,5.5,18.3,38.2,218.0,,0.0,0.01,0.03,1.05,,0.22
TARA_025_SRF_0.22-1.6,11/23/09 9:14,39.39,19.39,5.5,18.3,38.2,218.0,,0.0,0.01,0.03,1.05,0.22,1.6
TARA_030_DCM_<-0.22,12/15/09 16:17,33.93,32.77,69.1,19.0,39.3,218.1,0.3,0.01,0.0,0.02,0.67,,0.22
TARA_030_DCM_0.22-1.6,12/15/09 16:17,33.93,32.77,69.1,19.0,39.3,218.1,0.3,0.01,0.0,0.02,0.67,0.22,1.6
TARA_030_SRF_0.22-1.6,12/15/09 10:40,33.92,32.89,5.4,20.5,39.4,207.6,-0.7,0.0,0.0,0.05,0.82,0.22,1.6
TARA_031_SRF_<-0.22,1/9/10 7:25,27.16,34.83,5.4,25.1,40.0,188.8,-0.1,0.01,0.02,0.03,0.82,,0.22
TARA_031_SRF_0.22-1.6,1/9/10 7:25,27.16,34.83,5.4,25.1,40.0,188.8,-0.1,0.01,0.02,0.03,0.82,0.22,1.6
TARA_032_DCM_<-0.22,1/11/10 19:14,23.38,37.29,85.5,26.1,40.2,180.0,1.2,0.01,0.03,0.01,0.85,,0.22
TARA_032_DCM_0.22-1.6,1/11/10 19:14,23.38,37.29,85.5,26.1,40.2,180.0,1.2,0.01,0.03,0.01,0.85,0.22,1.6
TARA_032_SRF_<-0.22,1/11/10 7:27,23.36,37.22,5.4,25.8,39.7,188.4,-0.5,0.01,0.02,0.0,0.87,,0.22
TARA_032_SRF_0.22-1.6,1/11/10 7:27,23.36,37.22,5.4,25.8,39.7,188.4,-0.5,0.01,0.02,0.0,0.87,0.22,1.6
TARA_033_SRF_0.22-1.6,1/13/10 8:00,21.98,38.24,5.4,27.3,38.9,182.8,0.0,0.0,0.05,0.0,1.15,0.22,1.6
TARA_034_DCM_<-0.22,1/20/10 7:44,18.4,39.86,60.1,27.6,38.9,175.4,0.1,0.27,0.09,0.64,1.35,,0.22
TARA_034_DCM_0.22-1.6,1/20/10 7:44,18.4,39.86,60.1,27.6,38.9,175.4,0.1,0.27,0.09,0.64,1.35,0.22,1.6
TARA_034_SRF_<-0.22,1/20/10 4:50,18.4,39.88,5.4,27.6,38.6,184.1,-0.9,0.02,0.19,0.03,3.91,,0.22
TARA_034_SRF_0.1-0.22,1/20/10 4:50,18.4,39.88,5.4,27.6,38.6,184.1,-0.9,0.02,0.19,0.03,3.91,0.1,0.22
TARA_034_SRF_0.22-1.6,1/20/10 4:50,18.4,39.88,5.4,27.6,38.6,184.1,-0.9,0.02,0.19,0.03,3.91,0.22,1.6
TARA_036_DCM_<-0.22,3/12/10 10:34,20.82,63.51,17.4,25.4,36.5,211.6,0.4,0.51,0.51,2.08,1.79,,0.22
TARA_036_DCM_0.22-1.6,3/12/10 10:34,20.82,63.51,17.4,25.4,36.5,211.6,0.4,0.51,0.51,2.08,1.79,0.22,1.6
